Date,Address,Rate,Amount,Category,Product Name
2025-06-13,"Chitwan, Bagmati",5,40,Household,Matches (box)
2025-08-06,"Butwal, Lumbini",50,450,Spices,Coriander Powder (100g)
2025-02-12,"Chitwan, Bagmati",500,1000,Vegetables,Bamboo Shoots (1kg)
2025-01-06,"Pokhara, Gandaki",100,200,Snacks,Puffed Rice (1kg)
2024-03-28,"Butwal, Lumbini",50,150,Personal Care,"Soap (bath, bar)"
2024-07-14,"Pokhara, Gandaki",130,390,Grains & Pulses,"Rice (white, 1kg)"
2025-04-15,"Hetauda, Bagmati",25,100,Essentials,Salt (1kg)
2024-04-01,"Biratnagar, Koshi",90,810,Flours,"Wheat Flour (Atta, 1kg)"
2024-09-09,"Pokhara, Gandaki",80,480,Vegetables,Potatoes (1kg)
2024-01-26,"Butwal, Lumbini",50,350,Spices,Chili Powder (100g)
2024-03-13,"Pokhara, Gandaki",1150,2300,Dairy,Ghee (1L)
2025-11-27,"Pokhara, Gandaki",50,50,Snacks,Papad (pack)
2024-08-14,"Janakpur, Madhesh",25,50,Essentials,Salt (1kg)
2025-01-23,"Chitwan, Bagmati",240,240,Health Foods,Flax Seeds (1kg)
2024-02-08,"Chitwan, Bagmati",25,125,Essentials,Salt (1kg)
2025-05-20,"Nepalgunj, Lumbini",150,150,Grains & Pulses,Masoor Dal (1kg)
2025-03-06,"Biratnagar, Koshi",105,210,Essentials,Sugar (1kg)
2024-05-06,"Dharan, Koshi",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-01-19,"Kathmandu, Bagmati",50,200,Snacks,Biscuits (pack)
2025-01-13,"Chitwan, Bagmati",100,200,Snacks,Puffed Rice (1kg)
2024-10-30,"Pokhara, Gandaki",550,1650,Beverages,Tea Leaves (1kg)
2024-12-31,"Biratnagar, Koshi",150,300,Grains & Pulses,Masoor Dal (1kg)
2025-10-25,"Bhaktapur, Bagmati",50,50,Spices,Chili Powder (100g)
2024-01-01,"Pokhara, Gandaki",180,180,Grains & Pulses,Arhar Dal (1kg)
2024-01-20,"Dharan, Koshi",50,100,Spices,Coriander Powder (100g)
2024-07-14,"Janakpur, Madhesh",200,200,Household,Washing Powder (1kg)
2024-04-14,"Bhaktapur, Bagmati",120,360,Flours,"Suji (Semolina, 1kg)"
2024-10-19,"Bhaktapur, Bagmati",100,200,Snacks,Puffed Rice (1kg)
2024-11-02,"Hetauda, Bagmati",25,175,Essentials,Salt (1kg)
2024-04-08,"Biratnagar, Koshi",2000,6000,Household,Cooking Gas (small cylinder)
2024-08-02,"Nepalgunj, Lumbini",105,210,Essentials,Sugar (1kg)
2024-09-03,"Nepalgunj, Lumbini",120,120,Dairy,Milk (1L)
2024-01-01,"Lalitpur, Bagmati",180,180,Grains & Pulses,Arhar Dal (1kg)
2025-08-08,"Hetauda, Bagmati",170,510,Essentials,Jaggery (1kg)
2025-07-04,"Pokhara, Gandaki",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-04-17,"Nepalgunj, Lumbini",120,120,Dairy,Milk (1L)
2025-11-05,"Hetauda, Bagmati",100,100,Condiments,Tomato Ketchup (bottle)
2025-03-30,"Biratnagar, Koshi",80,400,Vegetables,Potatoes (1kg)
2025-08-14,"Lalitpur, Bagmati",200,400,Dairy,"Local Cheese (Chhurpi, pack)"
2025-10-01,"Butwal, Lumbini",50,250,Spices,Chili Powder (100g)
2024-10-30,"Bhaktapur, Bagmati",240,720,Health Foods,Flax Seeds (1kg)
2024-09-20,"Biratnagar, Koshi",70,350,Personal Care,Mehendi (200g)
2024-02-22,"Pokhara, Gandaki",150,300,Flours,"Besan (Gram Flour, 1kg)"
2024-04-15,"Chitwan, Bagmati",500,500,Vegetables,Bamboo Shoots (1kg)
2025-03-17,"Bhaktapur, Bagmati",100,300,Vegetables,Onions (1kg)
2025-09-21,"Itahari, Koshi",180,180,Grains & Pulses,Arhar Dal (1kg)
2025-06-02,"Chitwan, Bagmati",100,100,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-07-25,"Itahari, Koshi",550,1650,Beverages,Tea Leaves (1kg)
2025-02-09,"Kathmandu, Bagmati",30,30,Snacks,"Noodles (Maggi, pack)"
2025-11-18,"Nepalgunj, Lumbini",100,200,Vegetables,Tomatoes (1kg)
2025-07-07,"Lalitpur, Bagmati",300,900,Beverages,Horlicks (jar)
2025-09-03,"Butwal, Lumbini",50,450,Snacks,Papad (pack)
2024-05-09,"Pokhara, Gandaki",180,540,Flours,Multi-grain Atta (1kg)
2024-07-27,"Biratnagar, Koshi",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
2025-01-29,"Pokhara, Gandaki",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-07-12,"Itahari, Koshi",170,510,Essentials,Jaggery (1kg)
2024-12-10,"Lalitpur, Bagmati",50,350,Snacks,Biscuits (pack)
2024-05-21,"Bhaktapur, Bagmati",105,210,Essentials,Sugar (1kg)
2025-05-07,"Nepalgunj, Lumbini",150,450,Snacks,Peanuts (500g)
2025-06-06,"Itahari, Koshi",100,100,Fruits,Bananas (dozen)
2024-09-05,"Itahari, Koshi",80,320,Vegetables,Potatoes (1kg)
2025-10-06,"Hetauda, Bagmati",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-05-25,"Hetauda, Bagmati",5,15,Household,Matches (box)
2024-10-04,"Itahari, Koshi",40,160,Snacks,Chips/Namkeen (pack)
2024-08-21,"Kathmandu, Bagmati",100,200,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-10-01,"Dharan, Koshi",40,360,Spices,Turmeric Powder (100g)
2024-06-16,"Dharan, Koshi",200,600,Household,Washing Powder (1kg)
2025-02-26,"Pokhara, Gandaki",40,280,Snacks,Chips/Namkeen (pack)
2025-05-17,"Nepalgunj, Lumbini",200,600,Dairy,"Local Cheese (Chhurpi, pack)"
2024-06-13,"Kathmandu, Bagmati",5,5,Household,Matches (box)
2024-12-21,"Janakpur, Madhesh",180,180,Grains & Pulses,Arhar Dal (1kg)
2025-01-06,"Biratnagar, Koshi",240,480,Health Foods,Flax Seeds (1kg)
2024-03-24,"Hetauda, Bagmati",550,1650,Beverages,Tea Leaves (1kg)
2025-10-24,"Janakpur, Madhesh",90,810,Flours,"Wheat Flour (Atta, 1kg)"
2024-03-31,"Lalitpur, Bagmati",100,300,Condiments,Tomato Ketchup (bottle)
2024-06-20,"Butwal, Lumbini",150,150,Condiments,Ginger Garlic Paste (jar)
2025-02-24,"Hetauda, Bagmati",100,200,Snacks,Puffed Rice (1kg)
2024-06-01,"Dharan, Koshi",200,400,Grains & Pulses,Moong Dal (1kg)
2024-12-05,"Pokhara, Gandaki",120,360,Flours,"Suji (Semolina, 1kg)"
2024-05-02,"Chitwan, Bagmati",50,300,Spices,Chili Powder (100g)
2025-08-02,"Bhaktapur, Bagmati",2000,2000,Household,Cooking Gas (small cylinder)
2025-10-18,"Kathmandu, Bagmati",50,450,Spices,Coriander Powder (100g)
2025-06-26,"Itahari, Koshi",5,30,Household,Matches (box)
2024-08-11,"Itahari, Koshi",30,90,Household,Candles (pack)
2024-09-30,"Bhaktapur, Bagmati",150,150,Snacks,Peanuts (500g)
2024-11-18,"Itahari, Koshi",150,450,Grains & Pulses,Masoor Dal (1kg)
2025-06-20,"Butwal, Lumbini",40,400,Spices,Turmeric Powder (100g)
2025-10-24,"Pokhara, Gandaki",100,300,Vegetables,Tomatoes (1kg)
2024-07-03,"Hetauda, Bagmati",40,120,Snacks,Chips/Namkeen (pack)
2024-10-23,"Hetauda, Bagmati",500,1000,Vegetables,Bamboo Shoots (1kg)
2025-09-04,"Pokhara, Gandaki",180,540,Flours,Multi-grain Atta (1kg)
2025-06-05,"Bhaktapur, Bagmati",40,360,Spices,Turmeric Powder (100g)
2025-05-06,"Chitwan, Bagmati",105,315,Essentials,Sugar (1kg)
2024-02-28,"Pokhara, Gandaki",50,50,Snacks,Titaura (pack)
2025-07-10,"Hetauda, Bagmati",130,260,Grains & Pulses,"Rice (white, 1kg)"
2025-09-15,"Dharan, Koshi",5,40,Household,Matches (box)
2025-07-07,"Pokhara, Gandaki",200,600,Grains & Pulses,Moong Dal (1kg)
2024-11-28,"Lalitpur, Bagmati",150,450,Grains & Pulses,Masoor Dal (1kg)
2025-12-05,"Itahari, Koshi",200,400,Household,Washing Powder (1kg)
2024-04-01,"Dharan, Koshi",100,100,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-02-16,"Lalitpur, Bagmati",200,400,Grains & Pulses,Moong Dal (1kg)
2024-01-15,"Pokhara, Gandaki",80,320,Bakery,Bread (loaf)
2025-03-02,"Hetauda, Bagmati",40,240,Spices,Turmeric Powder (100g)
2025-10-12,"Janakpur, Madhesh",50,100,Snacks,Titaura (pack)
2025-10-19,"Janakpur, Madhesh",90,270,Flours,"Wheat Flour (Atta, 1kg)"
2024-12-19,"Nepalgunj, Lumbini",100,100,Snacks,Puffed Rice (1kg)
2024-10-30,"Hetauda, Bagmati",150,150,Snacks,Peanuts (500g)
2024-01-29,"Biratnagar, Koshi",100,300,Snacks,Puffed Rice (1kg)
2024-07-23,"Nepalgunj, Lumbini",120,360,Dairy,Milk (1L)
2025-02-28,"Lalitpur, Bagmati",100,200,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2025-05-15,"Kathmandu, Bagmati",50,50,Spices,Chili Powder (100g)
2025-10-02,"Kathmandu, Bagmati",100,300,Vegetables,Tomatoes (1kg)
2024-07-13,"Kathmandu, Bagmati",2000,4000,Household,Cooking Gas (small cylinder)
2025-06-16,"Lalitpur, Bagmati",550,550,Beverages,Tea Leaves (1kg)
2025-01-04,"Chitwan, Bagmati",550,1650,Beverages,Tea Leaves (1kg)
2024-10-05,"Lalitpur, Bagmati",50,300,Snacks,Biscuits (pack)
2025-04-07,"Itahari, Koshi",100,100,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-11-05,"Hetauda, Bagmati",100,200,Fruits,Bananas (dozen)
2025-01-01,"Lalitpur, Bagmati",50,350,Snacks,Biscuits (pack)
2024-12-30,"Janakpur, Madhesh",50,400,Snacks,Titaura (pack)
2025-04-15,"Hetauda, Bagmati",100,100,Spices,Dry Chilies (100g)
2024-07-27,"Kathmandu, Bagmati",240,720,Dairy,Eggs (dozen)
2024-07-13,"Nepalgunj, Lumbini",100,100,Spices,Dry Chilies (100g)
2024-03-05,"Chitwan, Bagmati",550,1100,Beverages,Tea Leaves (1kg)
2025-02-11,"Kathmandu, Bagmati",100,100,Fruits,Bananas (dozen)
2024-04-03,"Pokhara, Gandaki",240,480,Health Foods,Flax Seeds (1kg)
2024-05-04,"Bhaktapur, Bagmati",40,240,Snacks,Chips/Namkeen (pack)
2024-08-11,"Chitwan, Bagmati",30,240,Household,Candles (pack)
2024-06-24,"Nepalgunj, Lumbini",180,360,Grains & Pulses,Arhar Dal (1kg)
2025-10-29,"Itahari, Koshi",180,540,Grains & Pulses,Arhar Dal (1kg)
2025-06-21,"Janakpur, Madhesh",200,600,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-10-11,"Pokhara, Gandaki",500,500,Vegetables,Bamboo Shoots (1kg)
2024-09-16,"Hetauda, Bagmati",100,300,Condiments,Tomato Ketchup (bottle)
2025-12-01,"Nepalgunj, Lumbini",180,540,Grains & Pulses,Arhar Dal (1kg)
2025-05-16,"Pokhara, Gandaki",120,120,Dairy,Milk (1L)
2024-12-13,"Bhaktapur, Bagmati",100,300,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-06-22,"Kathmandu, Bagmati",100,300,Fruits,Bananas (dozen)
2025-08-23,"Kathmandu, Bagmati",300,600,Beverages,Horlicks (jar)
2024-10-10,"Hetauda, Bagmati",150,450,Grains & Pulses,Masoor Dal (1kg)
2025-03-06,"Biratnagar, Koshi",170,340,Essentials,Jaggery (1kg)
2025-11-19,"Pokhara, Gandaki",120,240,Dairy,Milk (1L)
2025-10-22,"Janakpur, Madhesh",100,200,Spices,Dry Chilies (100g)
2025-01-21,"Itahari, Koshi",170,170,Essentials,Jaggery (1kg)
2024-12-14,"Lalitpur, Bagmati",300,900,Beverages,Horlicks (jar)
2024-08-15,"Hetauda, Bagmati",200,400,Grains & Pulses,Moong Dal (1kg)
2025-09-18,"Lalitpur, Bagmati",200,600,Household,Washing Powder (1kg)
2025-04-12,"Janakpur, Madhesh",70,630,Personal Care,Mehendi (200g)
2024-11-21,"Pokhara, Gandaki",150,150,Snacks,Peanuts (500g)
2024-05-11,"Dharan, Koshi",150,300,Flours,"Besan (Gram Flour, 1kg)"
2025-06-13,"Hetauda, Bagmati",500,1500,Vegetables,Bamboo Shoots (1kg)
2025-04-02,"Dharan, Koshi",105,315,Essentials,Sugar (1kg)
2025-01-01,"Nepalgunj, Lumbini",100,200,Snacks,Puffed Rice (1kg)
2025-03-18,"Hetauda, Bagmati",300,900,Beverages,Horlicks (jar)
2024-05-17,"Kathmandu, Bagmati",150,450,Condiments,Ginger Garlic Paste (jar)
2024-07-22,"Itahari, Koshi",130,390,Grains & Pulses,"Rice (white, 1kg)"
2024-11-28,"Kathmandu, Bagmati",150,300,Grains & Pulses,Masoor Dal (1kg)
2025-06-02,"Butwal, Lumbini",170,170,Essentials,Jaggery (1kg)
2025-10-25,"Nepalgunj, Lumbini",150,450,Snacks,Peanuts (500g)
2025-11-23,"Chitwan, Bagmati",50,350,Spices,Coriander Powder (100g)
2024-03-12,"Hetauda, Bagmati",90,630,Flours,"Wheat Flour (Atta, 1kg)"
2024-08-22,"Itahari, Koshi",80,320,Vegetables,Potatoes (1kg)
2024-06-09,"Janakpur, Madhesh",100,100,Fruits,Bananas (dozen)
2025-06-01,"Janakpur, Madhesh",80,240,Vegetables,Potatoes (1kg)
2024-06-12,"Bhaktapur, Bagmati",100,300,Vegetables,Tomatoes (1kg)
2024-02-25,"Kathmandu, Bagmati",90,720,Flours,"Wheat Flour (Atta, 1kg)"
2025-11-27,"Kathmandu, Bagmati",500,1000,Vegetables,Bamboo Shoots (1kg)
2025-11-20,"Bhaktapur, Bagmati",40,240,Snacks,Chips/Namkeen (pack)
2025-01-11,"Chitwan, Bagmati",50,100,Snacks,Papad (pack)
2024-07-09,"Itahari, Koshi",100,200,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-11-18,"Dharan, Koshi",50,500,Snacks,Papad (pack)
2024-02-01,"Janakpur, Madhesh",120,360,Flours,"Suji (Semolina, 1kg)"
2025-01-23,"Chitwan, Bagmati",120,120,Flours,"Suji (Semolina, 1kg)"
2024-12-07,"Bhaktapur, Bagmati",80,720,Vegetables,Potatoes (1kg)
2025-12-02,"Bhaktapur, Bagmati",180,180,Grains & Pulses,Arhar Dal (1kg)
2024-07-25,"Itahari, Koshi",180,360,Flours,Multi-grain Atta (1kg)
2025-10-25,"Biratnagar, Koshi",100,200,Vegetables,Onions (1kg)
2024-12-14,"Lalitpur, Bagmati",80,560,Bakery,Bread (loaf)
2025-07-19,"Dharan, Koshi",1150,2300,Dairy,Ghee (1L)
2024-01-04,"Hetauda, Bagmati",105,105,Essentials,Sugar (1kg)
2025-05-09,"Chitwan, Bagmati",90,270,Flours,"Wheat Flour (Atta, 1kg)"
2025-11-03,"Dharan, Koshi",500,1000,Vegetables,Bamboo Shoots (1kg)
2024-12-02,"Hetauda, Bagmati",150,300,Grains & Pulses,Masoor Dal (1kg)
2024-06-20,"Pokhara, Gandaki",80,640,Bakery,Bread (loaf)
2024-04-02,"Chitwan, Bagmati",25,25,Essentials,Salt (1kg)
2024-03-17,"Biratnagar, Koshi",130,390,Grains & Pulses,"Rice (white, 1kg)"
2024-10-22,"Chitwan, Bagmati",50,50,Snacks,Papad (pack)
2025-10-25,"Lalitpur, Bagmati",100,300,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-11-12,"Janakpur, Madhesh",170,340,Essentials,Jaggery (1kg)
2024-08-16,"Kathmandu, Bagmati",120,240,Flours,"Suji (Semolina, 1kg)"
2024-09-14,"Janakpur, Madhesh",170,170,Essentials,Jaggery (1kg)
2025-01-12,"Biratnagar, Koshi",70,280,Personal Care,Mehendi (200g)
2024-09-01,"Bhaktapur, Bagmati",240,240,Dairy,Eggs (dozen)
2024-12-07,"Chitwan, Bagmati",50,500,Snacks,Titaura (pack)
2025-09-18,"Nepalgunj, Lumbini",100,200,Spices,Dry Chilies (100g)
2024-11-23,"Janakpur, Madhesh",80,80,Personal Care,Toothpaste (100g)
2025-08-31,"Nepalgunj, Lumbini",50,50,Spices,Chili Powder (100g)
2025-06-27,"Butwal, Lumbini",70,140,Personal Care,Mehendi (200g)
2025-03-08,"Nepalgunj, Lumbini",80,480,Personal Care,Toothpaste (100g)
2024-05-16,"Butwal, Lumbini",200,600,Grains & Pulses,Moong Dal (1kg)
2025-12-07,"Pokhara, Gandaki",100,100,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-05-03,"Kathmandu, Bagmati",100,300,Snacks,Puffed Rice (1kg)
2025-09-17,"Itahari, Koshi",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-03-07,"Janakpur, Madhesh",30,30,Household,Candles (pack)
2025-11-10,"Dharan, Koshi",25,200,Essentials,Salt (1kg)
2024-12-03,"Pokhara, Gandaki",150,150,Flours,"Besan (Gram Flour, 1kg)"
2024-07-27,"Kathmandu, Bagmati",25,100,Essentials,Salt (1kg)
2024-05-17,"Nepalgunj, Lumbini",100,200,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2024-02-13,"Itahari, Koshi",240,240,Dairy,Eggs (dozen)
2025-10-17,"Chitwan, Bagmati",300,900,Beverages,Horlicks (jar)
2025-08-05,"Pokhara, Gandaki",200,400,Dairy,"Local Cheese (Chhurpi, pack)"
2025-01-26,"Pokhara, Gandaki",5,30,Household,Matches (box)
2024-10-23,"Chitwan, Bagmati",200,600,Grains & Pulses,Moong Dal (1kg)
2024-05-23,"Lalitpur, Bagmati",200,400,Essentials,"Cooking Oil (Sunflower, 1L)"
2024-01-21,"Dharan, Koshi",100,200,Snacks,Puffed Rice (1kg)
2025-11-17,"Kathmandu, Bagmati",25,225,Essentials,Salt (1kg)
2025-02-07,"Lalitpur, Bagmati",100,100,Fruits,Bananas (dozen)
2024-01-05,"Pokhara, Gandaki",1150,3450,Dairy,Ghee (1L)
2025-02-05,"Nepalgunj, Lumbini",100,200,Vegetables,Tomatoes (1kg)
2025-11-26,"Dharan, Koshi",200,200,Dairy,"Local Cheese (Chhurpi, pack)"
2025-10-20,"Itahari, Koshi",180,540,Flours,Multi-grain Atta (1kg)
2025-12-01,"Janakpur, Madhesh",50,500,Snacks,Titaura (pack)
2025-05-15,"Kathmandu, Bagmati",150,150,Condiments,Ginger Garlic Paste (jar)
2025-06-05,"Biratnagar, Koshi",1150,2300,Dairy,Ghee (1L)
2024-11-28,"Janakpur, Madhesh",70,560,Personal Care,Mehendi (200g)
2024-08-05,"Butwal, Lumbini",70,700,Personal Care,Mehendi (200g)
2025-02-17,"Butwal, Lumbini",100,200,Vegetables,Onions (1kg)
2025-05-29,"Hetauda, Bagmati",105,105,Essentials,Sugar (1kg)
2024-04-08,"Biratnagar, Koshi",30,90,Household,Candles (pack)
2024-07-21,"Butwal, Lumbini",80,640,Vegetables,Potatoes (1kg)
2024-11-11,"Pokhara, Gandaki",130,130,Grains & Pulses,"Rice (white, 1kg)"
2024-02-02,"Butwal, Lumbini",180,360,Grains & Pulses,Arhar Dal (1kg)
2025-07-23,"Lalitpur, Bagmati",200,200,Dairy,"Local Cheese (Chhurpi, pack)"
2024-01-24,"Hetauda, Bagmati",2000,6000,Household,Cooking Gas (small cylinder)
2025-04-11,"Butwal, Lumbini",50,450,Snacks,Titaura (pack)
2025-02-26,"Chitwan, Bagmati",100,100,Vegetables,Tomatoes (1kg)
2024-07-27,"Lalitpur, Bagmati",80,400,Personal Care,Toothpaste (100g)
2024-11-23,"Dharan, Koshi",240,480,Health Foods,Flax Seeds (1kg)
2025-09-02,"Hetauda, Bagmati",120,240,Dairy,Milk (1L)
2024-04-07,"Itahari, Koshi",550,1100,Beverages,Tea Leaves (1kg)
2025-10-04,"Kathmandu, Bagmati",130,260,Grains & Pulses,"Rice (white, 1kg)"
2025-09-19,"Dharan, Koshi",5,45,Household,Matches (box)
2025-07-14,"Nepalgunj, Lumbini",30,240,Household,Candles (pack)
2025-12-02,"Bhaktapur, Bagmati",30,210,Snacks,"Noodles (Maggi, pack)"
2024-10-07,"Hetauda, Bagmati",200,400,Dairy,"Local Cheese (Chhurpi, pack)"
2024-03-05,"Lalitpur, Bagmati",100,100,Snacks,Puffed Rice (1kg)
2024-08-06,"Nepalgunj, Lumbini",240,720,Dairy,Eggs (dozen)
2024-04-19,"Nepalgunj, Lumbini",100,300,Condiments,Tomato Ketchup (bottle)
2024-07-05,"Janakpur, Madhesh",100,100,Vegetables,Onions (1kg)
2025-08-26,"Dharan, Koshi",100,300,Condiments,Tomato Ketchup (bottle)
2025-05-19,"Bhaktapur, Bagmati",550,1100,Beverages,Tea Leaves (1kg)
2024-08-14,"Chitwan, Bagmati",170,340,Essentials,Jaggery (1kg)
2024-12-06,"Butwal, Lumbini",100,300,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
2025-11-04,"Hetauda, Bagmati",80,720,Personal Care,Toothpaste (100g)
2024-01-19,"Kathmandu, Bagmati",200,400,Dairy,"Local Cheese (Chhurpi, pack)"
2025-08-27,"Butwal, Lumbini",30,180,Snacks,"Noodles (Maggi, pack)"
2024-04-21,"Butwal, Lumbini",240,240,Health Foods,Flax Seeds (1kg)
2024-10-21,"Kathmandu, Bagmati",100,300,Grains & Pulses,"Vermicelli (Sewai, 500g)"
2024-09-06,"Butwal, Lumbini",550,550,Beverages,Tea Leaves (1kg)
2025-05-15,"Hetauda, Bagmati",150,150,Condiments,Ginger Garlic Paste (jar)
2025-03-30,"Janakpur, Madhesh",120,360,Dairy,Milk (1L)
2025-05-23,"Butwal, Lumbini",70,210,Personal Care,Mehendi (200g)
2025-11-01,"Kathmandu, Bagmati",200,200,Dairy,"Local Cheese (Chhurpi, pack)"
2024-08-07,"Pokhara, Gandaki",105,210,Essentials,Sugar (1kg)
2024-06-04,"Chitwan, Bagmati",25,250,Essentials,Salt (1kg)
2025-06-19,"Biratnagar, Koshi",100,300,Grains & Pulses,"Beaten Rice (Chiura, 1kg)"
